symbol	match_basis	direct_glycome_match	interface_match	reported_gene_match	mapped_gene_match	study_accession	pubmed_id	first_author	publication_date	disease_trait	mapped_trait	trait_categories	reported_genes	mapped_genes	p_value
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90089076	35078996	Gudjonsson A	2022-01-25	Serum levels of protein MINPP1	blood protein amount	tissue_identity		ST6GAL1	2e-46
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469206	39789286	Loya H	2025-01-09	FCRL2 protein levels	Fc receptor-like protein 2 measurement	metabolism		ST6GAL1	9.999999999999999e-43
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90086482	35078996	Gudjonsson A	2022-01-25	Serum levels of protein FAM163B	blood protein amount	tissue_identity		ST6GAL1	2e-41
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469500	39789286	Loya H	2025-01-09	ICAM3 protein levels	intercellular adhesion molecule 3 measurement	metabolism		ST6GAL1	2e-41
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469445	39789286	Loya H	2025-01-09	HEPACAM2 protein levels	HEPACAM family member 2 measurement	metabolism		ST6GAL1	1e-40
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469702	39789286	Loya H	2025-01-09	KLK1 protein levels	level of kallikrein-1 in blood	metabolism		ST6GAL1	1e-40
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469445	39789286	Loya H	2025-01-09	HEPACAM2 protein levels	HEPACAM family member 2 measurement	metabolism		ST6GAL1	1e-36
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469445	39789286	Loya H	2025-01-09	HEPACAM2 protein levels	HEPACAM family member 2 measurement	metabolism		ST6GAL1	6e-35
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90470575	39789286	Loya H	2025-01-09	SEMA7A protein levels	semaphorin-7A measurement	metabolism		RPL29P9 - ST6GAL1	6e-33
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469824	39789286	Loya H	2025-01-09	LY9 protein levels	T-lymphocyte surface antigen Ly-9 level	immune_inflammation;metabolism		ST6GAL1	7e-33
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90468852	39789286	Loya H	2025-01-09	CR2 protein levels	level of complement receptor type 2 in blood	metabolism		ST6GAL1	1.9999999999999998e-32
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469205	39789286	Loya H	2025-01-09	FCRL1 protein levels	Fc receptor-like protein 1 measurement	metabolism		ST6GAL1	1.9999999999999998e-32
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90313898	38412862	Suhre K	2024-02-20	CD79B/CKAP4 protein level ratio	CD79B/CKAP4 protein level ratio in blood	metabolism		ST6GAL1	8e-31
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90470787	39789286	Loya H	2025-01-09	SUSD2 protein levels	Sushi domain-containing protein 2 measurement	metabolism		ST6GAL1	3e-29
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469445	39789286	Loya H	2025-01-09	HEPACAM2 protein levels	HEPACAM family member 2 measurement	metabolism		ST6GAL1	1.0000000000000001e-28
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469673	39789286	Loya H	2025-01-09	KEL protein levels	kell blood group glycoprotein measurement	glycome;metabolism		ST6GAL1	4.0000000000000003e-28
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90469647	39789286	Loya H	2025-01-09	ITGB7 protein levels	integrin beta-7 measurement	metabolism		ST6GAL1	9e-27
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90468648	39789286	Loya H	2025-01-09	CD79B protein levels	B-cell antigen receptor complex-associated protein beta chain measurement	metabolism		ST6GAL1	3e-26
ST6GAL1	mapped_gene	no	yes	no	yes	GCST90468105	39789286	Loya H	2025-01-09	Total protein levels (UKB data field 30860)	total blood protein measurement	metabolism		ST6GAL1	2.0000000000000002e-24
